index,errors
1396453200,0.028583320693175263
1396453800,0.06221711657550192
1396454400,0.5455287782639682
1396455000,0.3862344056035738
1396455600,0.2915797976081302
1396456200,0.22917208219511306
1396456800,0.18521106275111365
1396457400,0.15277339513203922
1396458000,0.17923983020710682
1396458600,0.15210933030035098
1396459200,0.13026192507492387
1396459800,0.11542196583739128
1396460400,0.10491344390151673
1396461000,0.09148871737823208
1396461600,0.088448337594301
1396462200,0.07898693290892453
1396462800,0.07483097058811496
1396463400,0.06719062400151385
1396464000,0.05935644249330388
1396464600,0.05363344318359857
1396465200,0.05173189071655859
1396465800,0.047667089543832655
1396466400,0.04316147461280399
1396467000,0.03859098416348841
1396467600,0.03680056423634782
1396468200,0.03519438039612387
1396468800,0.034754776746242014
1396469400,0.03332721992798373
1396470000,0.03080054035648892
1396470600,0.027287892507209487
1396471200,0.028545124443264826
1396471800,0.02666667410116839
1396472400,0.02536944219676491
1396473000,0.024161542599021976
1396473600,0.02173427267157535
1396474200,0.021557430189947987
1396474800,0.019235130325482415
1396475400,0.023545066122768857
1396476000,0.02426826346658625
1396476600,0.02481856261730619
1396477200,0.0266147177177783
1396477800,0.024092471487079537
1396478400,0.02344536521870813
1396479000,0.023568516113868888
1396479600,0.022165787486487315
1396480200,0.02013275060059864
1396480800,0.023112770432187967
1396481400,0.020590777939445536
1396482000,0.01866738881334288
1396482600,0.019665462052596835
1396483200,0.01853094163625199
1396483800,0.017299165045752782
1396484400,0.022510883574893656
1396485000,0.02004840157503923
1396485600,0.02040324886871645
1396486200,0.021631302838469396
1396486800,0.019422989192887565
1396487400,0.02020568115913974
1396488000,0.018848981295692693
1396488600,0.01992495679599067
1396489200,0.019208587972046866
1396489800,0.018484716471130574
1396490400,0.01887435358592402
1396491000,0.020387133587660325
1396491600,0.019986077113446105
1396492200,0.02011599534893348
1396492800,0.01870822718595941
1396493400,0.018952193096772537
1396494000,0.017480537802602183
1396494600,0.020433073318365223
1396495200,0.02124120754411683
1396495800,0.02297704187620089
1396496400,0.021675268839603645
1396497000,0.020956131542279176
1396497600,0.02014188216167063
1396498200,0.019171192876670233
1396498800,0.021082737989311196
1396499400,0.022215721331520687
1396500000,0.020082220878062666
1396500600,0.022357563067275803
1396501200,0.021169354744519028
1396501800,0.022252687193355436
1396502400,0.02171884967287376
1396503000,0.021743005523506467
1396503600,0.02207357226166296
1396504200,0.02225832867755113
1396504800,0.020119212457958432
1396505400,0.02029010605979417
1396506000,0.02040256391667425
1396506600,0.024493650197362368
1396507200,0.022031321916741908
1396507800,0.0197655725489845
1396508400,0.1820202683323417
1396509000,0.16484275223354455
1396509600,0.14919447457165663
1396510200,0.1361354627818568
1396510800,0.12139800317676232
1396511400,0.11122204930424646
1396512000,0.13538799843338212
1396512600,0.12196017600340639
1396513200,0.12152168598425679
1396513800,0.11711083663874013
1396514400,0.11415993649015585
1396515000,0.10215422477481344
1396515600,0.09154114471982272
1396516200,0.08638298748067058
1396516800,0.08913688032119672
